,Country/Region,Date,Value,Type,Diff,Week
466,Antigua and Barbuda,2020-04-02,9,Cases,2.0,2.0
467,Antigua and Barbuda,2020-04-03,15,Cases,6.0,8.0
468,Antigua and Barbuda,2020-04-04,15,Cases,0.0,8.0
469,Antigua and Barbuda,2020-04-05,15,Cases,0.0,8.0
470,Antigua and Barbuda,2020-04-06,15,Cases,0.0,8.0
471,Antigua and Barbuda,2020-04-07,19,Cases,4.0,12.0
472,Antigua and Barbuda,2020-04-08,19,Cases,0.0,12.0
473,Antigua and Barbuda,2020-04-09,19,Cases,0.0,10.0
474,Argentina,2020-01-22,0,Cases,,
475,Argentina,2020-01-23,0,Cases,0.0,
476,Argentina,2020-01-24,0,Cases,0.0,
477,Argentina,2020-01-25,0,Cases,0.0,
478,Argentina,2020-01-26,0,Cases,0.0,
479,Argentina,2020-01-27,0,Cases,0.0,
480,Argentina,2020-01-28,0,Cases,0.0,
481,Argentina,2020-01-29,0,Cases,0.0,0.0
482,Argentina,2020-01-30,0,Cases,0.0,0.0
483,Argentina,2020-01-31,0,Cases,0.0,0.0
484,Argentina,2020-02-01,0,Cases,0.0,0.0
